コード,年度,自己資本比率,売上高,営業利益,一株配当,配当性向,連続増配,減配なし
1929,2020/03,52.6,65516000000,4903000000,38,40.95,7.0,7.0
1930,2020/03,67.3,49932000000,4766000000,25,17.88,9.0,10.0
1934,2020/03,60.2,202760000000,6762000000,20,31.99,0.0,7.0
1938,2020/03,65.1,61588507000,4529534000,27,15.22,4.0,5.0
1939,2020/03,52.8,82728000000,3418000000,80,29.1,0.0,10.0
1941,2020/03,75.7,168888000000,8333000000,104,120.75,0.0,9.0
1942,2020/03,50.6,616143000000,34693000000,28,25.4,4.0,9.0
1944,2020/03,70.8,585905000000,45026000000,32,20.69,8.0,9.0
1945,2020/03,73.4,66520000000,3918000000,27,38.13,1.0,10.0
1946,2020/03,37.5,224843000000,13307000000,150,29.11,5.0,9.0
1948,2020/03,59.8,35654000000,2541000000,220,20.38,1.0,8.0
1949,2020/03,52.7,172910000000,13581000000,70,23.66,8.0,8.0
1950,2020/03,62.4,198244000000,16495000000,37,19.1,8.0,10.0
1951,2020/03,59.9,524574000000,31100000000,80,56.17,7.0,9.0
1952,2020/03,44.7,120106000000,6409000000,70,27.92,0.0,1.0
1954,2020/06,44.7,112214000000,4590000000,75,43.76,0.0,6.0
1959,2020/03,53.1,428939000000,36022000000,100,27.06,0.0,9.0
1960,2020/03,65.5,46802976000,709242000,24,40.99,0.0,1.0
1961,2020/03,48.2,207684000000,10674000000,95,58.99,2.0,9.0
1963,2020/03,58.2,480809000000,20234000000,12,174.64,1.0,1.0
1964,2020/03,44.1,38090000000,1711000000,60,41.07,0.0,4.0
1965,2020/03,64.9,60926000000,4263000000,34,17.39,0.0,6.0
1966,2020/03,39.6,49710057000,2302569000,20,6.33,0.0,3.0
1967,2020/03,70,51464353000,3639152000,15,15.27,3.0,10.0
1968,2020/03,52.4,119459000000,9450000000,90,24.6,2.0,2.0
1969,2020/03,46,320893000000,17900000000,56,28.91,4.0,9.0
1971,2020/03,41.6,7231454000,111704000,25,40.35,1.0,1.0
1972,2020/03,60.2,33995000000,2366000000,100,46.76,0.0,0.0
1973,2020/03,47.9,303616000000,16245000000,27.33,42.15,10.0,10.0
1975,2020/03,38,103964000000,3661000000,125,35.1,0.0,9.0
1976,2020/03,76,53073000000,6442000000,30,33.23,0.0,10.0
1979,2020/03,50.2,225378000000,15439000000,100,35.85,5.0,5.0
1980,2020/03,54.6,169229000000,9063000000,90,30.54,5.0,5.0
1981,2020/03,62.3,34947998000,1183936000,24,21.55,0.0,0.0
1982,2020/03,68.1,75890000000,3690000000,80,54.85,5.0,7.0
